Date,Close,High,Low,Open,Volume,Symbol,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD
2022-06-22,,,,,,ETH-USD,1051.421875,1126.26171875,1049.7633056640625,1125.3729248046875,15010593493.0,,,,,
2022-06-23,,,,,,ETH-USD,1143.38671875,1146.4942626953125,1050.2196044921875,1051.329345703125,14657862919.0,,,,,
2022-06-24,,,,,,ETH-USD,1226.8447265625,1238.616943359375,1134.5140380859375,1143.2047119140625,16981552654.0,,,,,
2022-06-25,,,,,,ETH-USD,1243.4468994140625,1246.394287109375,1184.56201171875,1226.7247314453125,12481946184.0,,,,,
2022-06-26,,,,,,ETH-USD,1199.8316650390625,1272.1312255859375,1199.4063720703125,1242.987548828125,12096607824.0,,,,,
2022-06-27,,,,,,ETH-USD,1193.6806640625,1234.1807861328125,1179.79248046875,1199.713134765625,12492225250.0,,,,,
2022-06-28,,,,,,ETH-USD,1144.5792236328125,1229.739013671875,1141.15966796875,1193.2540283203125,14023205651.0,,,,,
2022-06-29,,,,,,ETH-USD,1098.94384765625,1152.684814453125,1092.09912109375,1144.5244140625,15386286815.0,,,,,
2022-06-30,,,,,,ETH-USD,1067.298828125,1103.6904296875,1009.0948486328125,1099.3531494140625,16350755497.0,,,,,
2022-07-01,,,,,,ETH-USD,1059.767333984375,1100.223876953125,1040.1507568359375,1068.3167724609375,17499453625.0,,,,,
2022-07-02,,,,,,ETH-USD,1066.5128173828125,1073.0526123046875,1033.962158203125,1060.1212158203125,9935603640.0,,,,,
2022-07-03,,,,,,ETH-USD,1073.7669677734375,1083.4189453125,1044.005615234375,1066.4674072265625,8557248150.0,,,,,
2022-07-04,,,,,,ETH-USD,1151.05908203125,1152.94384765625,1048.3963623046875,1073.7943115234375,13670889311.0,,,,,
2022-07-05,,,,,,ETH-USD,1134.541015625,1165.6827392578125,1086.8299560546875,1150.509765625,16195518291.0,,,,,
2022-07-06,,,,,,ETH-USD,1186.9739990234375,1193.63671875,1116.24755859375,1134.822265625,15373536703.0,,,,,
2022-07-07,,,,,,ETH-USD,1237.5933837890625,1246.8948974609375,1165.6231689453125,1186.9609375,14230795894.0,,,,,
2022-07-08,,,,,,ETH-USD,1222.5062255859375,1262.8857421875,1200.6322021484375,1237.580322265625,16315929082.0,,,,,
2022-07-09,,,,,,ETH-USD,1216.978271484375,1228.7679443359375,1209.3775634765625,1222.306884765625,8821353104.0,,,,,
2022-07-10,,,,,,ETH-USD,1168.401611328125,1216.9044189453125,1157.175537109375,1216.9044189453125,10984558039.0,,,,,
2022-07-11,,,,,,ETH-USD,1097.236572265625,1169.19384765625,1095.0028076171875,1168.1390380859375,12064180410.0,,,,,
2022-07-12,,,,,,ETH-USD,1038.191650390625,1097.2591552734375,1038.1356201171875,1097.2591552734375,12583282453.0,,,,,
2022-07-13,,,,,,ETH-USD,1113.587158203125,1113.587158203125,1019.2203369140625,1038.1866455078125,18302588147.0,,,,,
2022-07-14,,,,,,ETH-USD,1191.5262451171875,1202.953369140625,1077.40576171875,1113.5157470703125,16688640823.0,,,,,
2022-07-15,,,,,,ETH-USD,1233.129150390625,1275.7781982421875,1182.9031982421875,1191.6748046875,17411448225.0,,,,,
2022-07-16,,,,,,ETH-USD,1352.62646484375,1377.944580078125,1195.60595703125,1232.7916259765625,18364013796.0,,,,,
2022-07-17,,,,,,ETH-USD,1338.6357421875,1378.41748046875,1329.7633056640625,1353.205078125,16079711737.0,,,,,
2022-07-18,,,,,,ETH-USD,1578.7178955078125,1578.7178955078125,1338.8060302734375,1338.8060302734375,27440420623.0,,,,,
2022-07-19,,,,,,ETH-USD,1542.9752197265625,1607.0330810546875,1501.7974853515625,1578.3839111328125,27753529276.0,,,,,
2022-07-20,,,,,,ETH-USD,1520.20068359375,1612.645751953125,1500.80322265625,1542.954345703125,22942708340.0,,,,,
2022-07-21,,,,,,ETH-USD,1576.74951171875,1595.761962890625,1472.1854248046875,1520.37451171875,20009556587.0,,,,,
2022-07-22,,,,,,ETH-USD,1537.4051513671875,1641.209228515625,1523.6417236328125,1576.745361328125,18926100582.0,,,,,
2022-07-23,,,,,,ETH-USD,1549.2974853515625,1591.632568359375,1495.6781005859375,1536.4573974609375,14998811383.0,,,,,
2022-07-24,,,,,,ETH-USD,1599.4766845703125,1654.4287109375,1548.671142578125,1549.2225341796875,17217849557.0,,,,,
2022-07-25,,,,,,ETH-USD,1445.3834228515625,1605.3369140625,1445.3834228515625,1599.1572265625,20585056021.0,,,,,
2022-07-26,,,,,,ETH-USD,1441.8067626953125,1445.151123046875,1362.95166015625,1445.151123046875,18238563509.0,,,,,
2022-07-27,,,,,,ETH-USD,1636.232666015625,1636.7994384765625,1423.618896484375,1443.726806640625,23007524016.0,,,,,
2022-07-28,,,,,,ETH-USD,1725.4681396484375,1774.576416015625,1604.8909912109375,1636.23193359375,27231399966.0,,,,,
2022-07-29,,,,,,ETH-USD,1727.406982421875,1759.884033203125,1662.7911376953125,1725.6239013671875,23249531113.0,,,,,
2022-07-30,,,,,,ETH-USD,1695.969482421875,1738.016845703125,1678.1080322265625,1727.0618896484375,15576977870.0,,,,,
2022-07-31,,,,,,ETH-USD,1681.517333984375,1745.8831787109375,1672.61279296875,1695.884765625,14200735370.0,,,,,
2022-08-01,,,,,,ETH-USD,1635.19580078125,1700.1708984375,1613.416015625,1681.445556640625,16191371176.0,,,,,
2022-08-02,,,,,,ETH-USD,1632.9454345703125,1672.6297607421875,1567.85107421875,1634.6458740234375,20426082309.0,,,,,
2022-08-03,,,,,,ETH-USD,1618.87451171875,1678.0982666015625,1595.634521484375,1633.05126953125,16786218830.0,,,,,
2022-08-04,,,,,,ETH-USD,1608.205810546875,1658.5115966796875,1585.3265380859375,1618.88671875,14467440626.0,,,,,
2022-08-05,,,,,,ETH-USD,1732.254638671875,1732.254638671875,1606.4970703125,1607.52392578125,18546491876.0,,,,,
2022-08-06,,,,,,ETH-USD,1691.6580810546875,1744.326416015625,1691.6580810546875,1732.6611328125,11757911705.0,,,,,
2022-08-07,,,,,,ETH-USD,1699.350830078125,1724.7891845703125,1672.908447265625,1691.7779541015625,10252090340.0,,,,,
2022-08-08,,,,,,ETH-USD,1775.51611328125,1806.886474609375,1697.407958984375,1699.6934814453125,16841424404.0,,,,,
2022-08-09,,,,,,ETH-USD,1703.0250244140625,1786.12255859375,1675.849853515625,1776.0712890625,16368619692.0,,,,,
2022-08-10,,,,,,ETH-USD,1851.74267578125,1869.400634765625,1665.0904541015625,1702.906494140625,23512477984.0,,,,,
2022-08-11,,,,,,ETH-USD,1881.22412109375,1927.939208984375,1851.828369140625,1851.828369140625,23826986482.0,,,,,
2022-08-12,,,,,,ETH-USD,1957.2464599609375,1957.552978515625,1860.08349609375,1880.899169921875,17168141904.0,,,,,
2022-08-13,,,,,,ETH-USD,1981.3365478515625,2013.7557373046875,1948.59521484375,1957.333984375,16038975216.0,,,,,
2022-08-14,,,,,,ETH-USD,1936.802001953125,2022.79150390625,1919.0101318359375,1981.782470703125,14062754456.0,,,,,
2022-08-15,,,,,,ETH-USD,1904.2281494140625,2007.2103271484375,1881.8568115234375,1936.760498046875,20349931313.0,,,,,
2022-08-16,,,,,,ETH-USD,1878.139404296875,1910.745361328125,1862.2734375,1902.8331298828125,15637578930.0,,,,,
